3.00; 11.37; 7.43; 10.37; 12.81; 2019/12/03 23:00
3.12; 11.31; 7.43; 10.31; 12.81; 2019/12/03 23:30
3.06; 11.18; 7.43; 10.25; 12.75; 2019/12/04 00:00
3.00; 11.18; 7.43; 10.18; 12.81; 2019/12/04 00:30
3.06; 11.25; 7.43; 10.25; 12.81; 2019/12/04 01:00
2.50; 11.31; 7.43; 10.25; 12.81; 2019/12/04 01:30
2.25; 11.31; 7.43; 10.18; 12.81; 2019/12/04 02:00
2.00; 11.18; 7.37; 10.25; 12.81; 2019/12/04 02:30
2.12; 11.12; 7.37; 10.18; 12.87; 2019/12/04 03:00
2.12; 11.18; 7.37; 10.12; 12.87; 2019/12/04 03:30
2.12; 11.18; 7.37; 10.18; 12.81; 2019/12/04 04:00
1.93; 11.31; 7.31; 10.18; 12.87; 2019/12/04 04:30
1.87; 11.31; 7.31; 10.18; 12.87; 2019/12/04 05:00
1.75; 11.25; 7.31; 10.12; 12.87; 2019/12/04 05:30
1.50; 11.06; 7.31; 10.12; 12.87; 2019/12/04 06:00
1.62; 11.06; 7.31; 10.06; 12.87; 2019/12/04 06:30
1.12; 11.18; 7.25; 10.06; 12.87; 2019/12/04 07:00
1.00; 11.18; 7.25; 10.06; 12.87; 2019/12/04 07:30
1.25; 11.18; 7.25; 10.06; 12.87; 2019/12/04 08:00
1.18; 11.18; 7.25; 10.12; 12.93; 2019/12/04 08:30
1.12; 11.12; 7.25; 10.00; 12.93; 2019/12/04 09:00
1.12; 11.06; 7.18; 9.93; 12.93; 2019/12/04 09:30
1.25; 11.06; 7.18; 10.00; 12.93; 2019/12/04 10:00
1.93; 11.06; 7.18; 10.00; 12.93; 2019/12/04 10:30
2.50; 11.06; 7.12; 10.00; 12.93; 2019/12/04 11:00
3.62; 11.18; 7.12; 10.06; 12.93; 2019/12/04 11:30
4.56; 11.31; 7.18; 10.18; 12.93; 2019/12/04 12:00
5.37; 11.25; 7.31; 10.12; 12.93; 2019/12/04 12:30
5.93; 11.18; 7.31; 10.12; 12.93; 2019/12/04 13:00
6.56; 11.37; 7.25; 10.25; 12.93; 2019/12/04 13:30
6.81; 11.50; 7.25; 10.12; 13.00; 2019/12/04 14:00
6.75; 11.43; 7.25; 10.12; 13.00; 2019/12/04 14:30
6.75; 11.31; 7.25; 10.06; 13.00; 2019/12/04 15:00
6.43; 11.37; 7.25; 10.12; 13.00; 2019/12/04 15:30
5.93; 11.43; 7.25; 10.25; 13.06; 2019/12/04 16:00
5.37; 11.37; 7.25; 10.25; 12.93; 2019/12/04 16:30
4.75; 11.31; 7.25; 10.12; 13.00; 2019/12/04 17:00
4.12; 11.18; 7.25; 10.12; 13.00; 2019/12/04 17:30
3.68; 11.18; 7.18; 10.18; 12.93; 2019/12/04 18:00
3.37; 11.18; 7.25; 10.12; 13.00; 2019/12/04 18:30
2.93; 11.18; 7.25; 10.25; 12.93; 2019/12/04 19:00
2.50; 11.25; 7.25; 10.31; 13.00; 2019/12/04 19:30
2.43; 11.25; 7.25; 10.31; 13.00; 2019/12/04 20:00
2.12; 11.25; 7.25; 10.31; 13.00; 2019/12/04 20:30
2.00; 11.25; 7.25; 10.31; 13.00; 2019/12/04 21:00
1.81; 11.18; 7.25; 10.25; 13.00; 2019/12/04 21:30
1.62; 11.12; 7.25; 10.18; 13.00; 2019/12/04 22:00
1.50; 11.06; 7.25; 10.12; 13.06; 2019/12/04 22:30
1.37; 11.06; 7.18; 10.31; 13.06; 2019/12/04 23:00
1.25; 11.06; 7.18; 10.18; 13.06; 2019/12/04 23:30
1.12; 11.06; 7.18; 10.25; 13.06; 2019/12/05 00:00
1.00; 11.12; 7.18; 10.18; 13.06; 2019/12/05 00:30
1.12; 11.12; 7.18; 10.12; 13.06; 2019/12/05 01:00
